"","nation","o_year","sum_profit"
"1","ALGERIA",1998,2321785.3682
"2","ALGERIA",1997,3685016.8589
"3","ALGERIA",1996,4276597.4253
"4","ALGERIA",1995,4418370.4154
"5","ALGERIA",1994,3864849.9521
"6","ALGERIA",1993,3541051.3865
"7","ALGERIA",1992,4310013.3482
"8","ARGENTINA",1998,2685983.8005
"9","ARGENTINA",1997,4242147.8124
"10","ARGENTINA",1996,3907867.0103
"11","ARGENTINA",1995,4605921.5011
"12","ARGENTINA",1994,3542096.1564
"13","ARGENTINA",1993,3949965.9388
"14","ARGENTINA",1992,4521180.4695
"15","BRAZIL",1998,2778730.3931
"16","BRAZIL",1997,4642037.4687
"17","BRAZIL",1996,4530304.6034
"18","BRAZIL",1995,4502344.8657
"19","BRAZIL",1994,4875806.5015
"20","BRAZIL",1993,4687478.6531
"21","BRAZIL",1992,5035200.0464
"22","CANADA",1998,2194509.0465
"23","CANADA",1997,3482197.9521
"24","CANADA",1996,3712231.2814
"25","CANADA",1995,4014814.8476
"26","CANADA",1994,4145304.4855
"27","CANADA",1993,3787069.6045
"28","CANADA",1992,4168009.4201
"29","CHINA",1998,3398578.0001
"30","CHINA",1997,6358959.3338
"31","CHINA",1996,6435158.3229
"32","CHINA",1995,6174776.2113
"33","CHINA",1994,6385751.0812
"34","CHINA",1993,5765034.1194
"35","CHINA",1992,6324034.2379
"36","EGYPT",1998,2333148.3334
"37","EGYPT",1997,3661244.2731
"38","EGYPT",1996,3765371.2368
"39","EGYPT",1995,4094744.2925
"40","EGYPT",1994,3566508.0818
"41","EGYPT",1993,3725283.7747
"42","EGYPT",1992,3373762.3335
"43","ETHIOPIA",1998,1953927.2682
"44","ETHIOPIA",1997,3285786.3266
"45","ETHIOPIA",1996,3525028.7952
"46","ETHIOPIA",1995,3781674.8911
"47","ETHIOPIA",1994,3037409.436
"48","ETHIOPIA",1993,3008978.2677
"49","ETHIOPIA",1992,2721203.2355
"50","FRANCE",1998,2604373.8805
"51","FRANCE",1997,3982872.0488
"52","FRANCE",1996,3622479.2413
"53","FRANCE",1995,4479939.702
"54","FRANCE",1994,3531013.1981
"55","FRANCE",1993,4086437.3102
"56","FRANCE",1992,3637792.1333
"57","GERMANY",1998,3291023.2965
"58","GERMANY",1997,5139337.3443
"59","GERMANY",1996,4799810.4577
"60","GERMANY",1995,5405785.79780001
"61","GERMANY",1994,4555556.4592
"62","GERMANY",1993,4428195.1019
"63","GERMANY",1992,4656148.4204
"64","INDIA",1998,2591288.1874
"65","INDIA",1997,5159562.7033
"66","INDIA",1996,5307258.3049
"67","INDIA",1995,5148208.7902
"68","INDIA",1994,5164001.9582
"69","INDIA",1993,4321398.4388
"70","INDIA",1992,5297703.6935
"71","INDONESIA",1998,3094900.1597
"72","INDONESIA",1997,5719773.0358
"73","INDONESIA",1996,6037238.5993
"74","INDONESIA",1995,5266783.4899
"75","INDONESIA",1994,5470762.8729
"76","INDONESIA",1993,6189826.66129999
"77","INDONESIA",1992,4414623.1549
"78","IRAN",1998,3214864.1209
"79","IRAN",1997,3688049.0691
"80","IRAN",1996,3621649.2247
"81","IRAN",1995,4420783.4205
"82","IRAN",1994,4373984.6523
"83","IRAN",1993,3731301.7814
"84","IRAN",1992,4417133.3662
"85","IRAQ",1998,2338859.4099
"86","IRAQ",1997,3622681.5643
"87","IRAQ",1996,4762291.8722
"88","IRAQ",1995,4558092.7359
"89","IRAQ",1994,4951604.1699
"90","IRAQ",1993,3830077.9911
"91","IRAQ",1992,3938636.4874
"92","JAPAN",1998,1849535.0802
"93","JAPAN",1997,4068688.8537
"94","JAPAN",1996,4044774.7597
"95","JAPAN",1995,4793005.8027
"96","JAPAN",1994,4114717.0568
"97","JAPAN",1993,3614468.7485
"98","JAPAN",1992,4266694.47
"99","JORDAN",1998,1811488.0719
"100","JORDAN",1997,2951297.8678
"101","JORDAN",1996,3302528.3067
"102","JORDAN",1995,3221813.999
"103","JORDAN",1994,2417892.0921
"104","JORDAN",1993,3107641.7661
"105","JORDAN",1992,3316379.0585
"106","KENYA",1998,2579075.419
"107","KENYA",1997,2929194.2317
"108","KENYA",1996,3569129.5619
"109","KENYA",1995,3542889.1087
"110","KENYA",1994,3983095.3994
